what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1416180103812
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416180121905
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416180139074
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416180139103
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416180146692
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416180152687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416180200795
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416180214500
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416180229678
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416180236049
