what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1416179520409
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1416179520410
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1416179520499
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1416179520499
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1416179520615
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1416179520616
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1416179520616
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1416179520694
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1416179520694
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1416179520817
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1416179520817
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1416179520817
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1416179520817
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1416179520817
started,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1416179520817
started,bundle,com.android.ide.eclipse.ddms,15.0.1.v201111031820-219398,"com.android.ide.eclipse.ddms",1416179520817
started,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1416179520817
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1416179520888
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1416179520996
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1416179521043
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1416179521043
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1416179521152
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1416179521227
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1416179521324
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1416179521369
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1416179521509
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1416179521599
os,sysinfo,,,"macosx",1416179521661
arch,sysinfo,,,"x86",1416179521661
ws,sysinfo,,,"cocoa",1416179521661
locale,sysinfo,,,"en_US",1416179521661
processors,sysinfo,,,"4",1416179521661
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416179521661
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1416179521661
java.specification.name,sysinfo,,,"Java Platform API Specification",1416179521661
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416179521661
java.specification.version,sysinfo,,,"1.6",1416179521661
java.vendor,sysinfo,,,"Apple Inc.",1416179521661
java.version,sysinfo,,,"1.6.0_65",1416179521661
java.vm.info,sysinfo,,,"mixed mode",1416179521661
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416179521661
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416179521661
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1416179521661
java.vm.specification.version,sysinfo,,,"1.0",1416179521661
java.vm.vendor,sysinfo,,,"Apple Inc.",1416179521661
java.vm.version,sysinfo,,,"20.65-b04-462",1416179521661
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179521845
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1416179523659
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1416179523820
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1416179523890
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1416179528410
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1416179528431
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1416179528576
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179529865
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179529898
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1416179530042
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179532087
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179533925
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416179535285
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416179535306
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1416179535318
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179546101
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179562041
started,bundle,com.collabnet.subversion.merge,2.2.3,"com.collabnet.subversion.merge",1416179562452
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1416179562517
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1416179562570
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179566845
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1416179605508
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1416179605529
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1416179605575
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179610812
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1416179610847
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1416179610847
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1416179611137
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1416179611150
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179627949
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179630960
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416179630990
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1416179630990
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179645541
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179653595
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.clean.up",1416179653636
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1416179667473
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416179667531
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416179667682
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1416179668002
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1416179668440
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1416179679950
started,bundle,org.python.pydev.core,1.6.5.2011020317,"org.python.pydev.core",1416179680190
started,bundle,org.python.pydev.debug,1.6.5.2011020317,"org.python.pydev.debug",1416179680195
started,bundle,org.python.pydev.customizations,1.6.5.2011020317,"org.python.pydev.customizations",1416179680199
started,bundle,com.python.pydev.analysis,1.6.5.2011020317,"com.python.pydev.analysis",1416179680367
started,bundle,org.python.pydev,1.6.5.2011020317,"org.python.pydev",1416179680383
